Data as of,Start Date,End Date,State,County Name,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,Footnote
03/17/2021,01/01/2020,03/13/2021,CO,Jefferson County,2,8,59,8059,Distribution of all-cause deaths (%),6558,743,0.822,0.013,0.005,0.019,,0.133,0.006,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Jefferson County,2,8,59,8059,Distribution of COVID-19 deaths (%),6558,743,0.729,0.017,,0.032,,0.207,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Jefferson County,2,8,59,8059,Distribution of population (%),6558,743,0.777,0.012,0.005,0.03,0.001,0.156,0.02,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,CO,Larimer County,3,8,69,8069,Distribution of all-cause deaths (%),3534,279,0.899,0.008,0.005,0.01,,0.075,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Larimer County,3,8,69,8069,Distribution of COVID-19 deaths (%),3534,279,0.713,,,,,0.24,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Larimer County,3,8,69,8069,Distribution of population (%),3534,279,0.821,0.01,0.004,0.023,0.001,0.119,0.022,Medium metro,
03/17/2021,01/01/2020,03/13/2021,CO,Mesa County,4,8,77,8077,Distribution of all-cause deaths (%),2456,243,0.899,,0.015,,,0.079,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Mesa County,4,8,77,8077,Distribution of COVID-19 deaths (%),2456,243,0.782,,0.058,,,0.152,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Mesa County,4,8,77,8077,Distribution of population (%),2456,243,0.81,0.007,0.007,0.009,0.001,0.148,0.018,Small metro,
03/17/2021,01/01/2020,03/13/2021,CO,Pueblo County,4,8,101,8101,Distribution of all-cause deaths (%),2849,360,0.607,0.02,0.006,0.005,,0.356,0.006,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Pueblo County,4,8,101,8101,Distribution of COVID-19 deaths (%),2849,360,0.547,,,,,0.403,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Pueblo County,4,8,101,8101,Distribution of population (%),2849,360,0.517,0.019,0.007,0.009,0.001,0.431,0.017,Small metro,
03/17/2021,01/01/2020,03/13/2021,CO,Weld County,3,8,123,8123,Distribution of all-cause deaths (%),2237,281,0.783,0.007,,0.01,,0.192,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Weld County,3,8,123,8123,Distribution of COVID-19 deaths (%),2237,281,0.612,,,,,0.345,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CO,Weld County,3,8,123,8123,Distribution of population (%),2237,281,0.648,0.012,0.006,0.017,0.001,0.3,0.017,Medium metro,
03/17/2021,01/01/2020,03/13/2021,CT,Fairfield County,3,9,1,9001,Distribution of all-cause deaths (%),9643,2026,0.78,0.105,,0.019,,0.09,0.005,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Fairfield County,3,9,1,9001,Distribution of COVID-19 deaths (%),9643,2026,0.719,0.131,,0.022,,0.122,0.005,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Fairfield County,3,9,1,9001,Distribution of population (%),9643,2026,0.609,0.111,0.001,0.057,0,0.205,0.015,Medium metro,
03/17/2021,01/01/2020,03/13/2021,CT,Hartford County,1,9,3,9003,Distribution of all-cause deaths (%),11793,2275,0.783,0.111,,0.014,,0.088,0.003,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Hartford County,1,9,3,9003,Distribution of COVID-19 deaths (%),11793,2275,0.723,0.15,,0.012,,0.109,,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Hartford County,1,9,3,9003,Distribution of population (%),11793,2275,0.599,0.134,0.002,0.059,0,0.188,0.018,Large central metro,
03/17/2021,01/01/2020,03/13/2021,CT,Litchfield County,5,9,5,9005,Distribution of all-cause deaths (%),1905,211,0.957,0.012,,0.006,,0.02,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Litchfield County,5,9,5,9005,Distribution of COVID-19 deaths (%),1905,211,0.929,,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Litchfield County,5,9,5,9005,Distribution of population (%),1905,211,0.874,0.018,0.002,0.021,0,0.071,0.014,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,CT,Middlesex County,2,9,7,9007,Distribution of all-cause deaths (%),1867,330,0.918,0.042,,0.007,,0.024,0.007,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Middlesex County,2,9,7,9007,Distribution of COVID-19 deaths (%),1867,330,0.882,0.058,,,,0.033,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Middlesex County,2,9,7,9007,Distribution of population (%),1867,330,0.833,0.049,0.002,0.032,0,0.066,0.018,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,CT,New Haven County,3,9,9,9009,Distribution of all-cause deaths (%),11558,1960,0.79,0.116,,0.011,,0.078,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,New Haven County,3,9,9,9009,Distribution of COVID-19 deaths (%),11558,1960,0.739,0.148,,0.01,,0.096,0.007,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,New Haven County,3,9,9,9009,Distribution of population (%),11558,1960,0.616,0.13,0.002,0.042,0,0.191,0.018,Medium metro,
03/17/2021,01/01/2020,03/13/2021,CT,New London County,3,9,11,9011,Distribution of all-cause deaths (%),3021,389,0.892,0.039,0.006,0.015,,0.04,0.006,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,New London County,3,9,11,9011,Distribution of COVID-19 deaths (%),3021,389,0.874,0.036,,,,0.064,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,New London County,3,9,11,9011,Distribution of population (%),3021,389,0.751,0.057,0.008,0.042,0.001,0.111,0.031,Medium metro,
03/17/2021,01/01/2020,03/13/2021,CT,Windham County,3,9,15,9015,Distribution of all-cause deaths (%),1209,138,0.94,0.009,,,,0.043,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Windham County,3,9,15,9015,Distribution of COVID-19 deaths (%),1209,138,0.928,,,,,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,CT,Windham County,3,9,15,9015,Distribution of population (%),1209,138,0.82,0.019,0.004,0.014,0,0.124,0.019,Medium metro,
03/17/2021,01/01/2020,03/13/2021,DC,District of Columbia,1,11,1,11001,Distribution of all-cause deaths (%),8647,1267,0.217,0.696,0.002,0.021,,0.059,0.005,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DC,District of Columbia,1,11,1,11001,Distribution of COVID-19 deaths (%),8647,1267,0.137,0.687,,0.02,,0.151,,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DC,District of Columbia,1,11,1,11001,Distribution of population (%),8647,1267,0.374,0.444,0.002,0.043,0,0.113,0.024,Large central metro,
03/17/2021,01/01/2020,03/13/2021,DE,Kent County,4,10,1,10001,Distribution of all-cause deaths (%),2323,255,0.743,0.222,,0.008,,0.021,0.005,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DE,Kent County,4,10,1,10001,Distribution of COVID-19 deaths (%),2323,255,0.671,0.29,,,,,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DE,Kent County,4,10,1,10001,Distribution of population (%),2323,255,0.604,0.26,0.005,0.023,0.001,0.074,0.034,Small metro,
03/17/2021,01/01/2020,03/13/2021,DE,New Castle County,2,10,3,10003,Distribution of all-cause deaths (%),6809,682,0.73,0.221,,0.015,,0.032,0.002,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DE,New Castle County,2,10,3,10003,Distribution of COVID-19 deaths (%),6809,682,0.743,0.196,,,,0.047,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DE,New Castle County,2,10,3,10003,Distribution of population (%),6809,682,0.563,0.251,0.002,0.057,0,0.104,0.023,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,DE,Sussex County,3,10,5,10005,Distribution of all-cause deaths (%),3441,401,0.87,0.102,0.004,0.005,,0.018,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DE,Sussex County,3,10,5,10005,Distribution of COVID-19 deaths (%),3441,401,0.766,0.172,,,,0.047,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,DE,Sussex County,3,10,5,10005,Distribution of population (%),3441,401,0.753,0.117,0.004,0.013,0,0.093,0.019,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Alachua County,3,12,1,12001,Distribution of all-cause deaths (%),4845,581,0.751,0.185,,0.016,,0.04,0.007,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Alachua County,3,12,1,12001,Distribution of COVID-19 deaths (%),4845,581,0.666,0.287,,,,0.034,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Alachua County,3,12,1,12001,Distribution of population (%),4845,581,0.606,0.2,0.003,0.06,0.001,0.105,0.026,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Bay County,4,12,5,12005,Distribution of all-cause deaths (%),2698,356,0.87,0.086,,0.011,,0.023,0.007,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Bay County,4,12,5,12005,Distribution of COVID-19 deaths (%),2698,356,0.798,0.118,,,,0.051,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Bay County,4,12,5,12005,Distribution of population (%),2698,356,0.765,0.108,0.006,0.023,0.001,0.067,0.03,Small metro,
03/17/2021,01/01/2020,03/13/2021,FL,Brevard County,3,12,9,12009,Distribution of all-cause deaths (%),9865,731,0.85,0.084,0.001,0.011,,0.05,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Brevard County,3,12,9,12009,Distribution of COVID-19 deaths (%),9865,731,0.754,0.149,,0.016,,0.078,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Brevard County,3,12,9,12009,Distribution of population (%),9865,731,0.738,0.1,0.003,0.025,0.001,0.109,0.024,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Broward County,2,12,11,12011,Distribution of all-cause deaths (%),21306,2541,0.555,0.235,0.001,0.018,,0.185,0.005,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Broward County,2,12,11,12011,Distribution of COVID-19 deaths (%),21306,2541,0.348,0.328,,0.021,,0.298,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Broward County,2,12,11,12011,Distribution of population (%),21306,2541,0.348,0.284,0.002,0.037,0.001,0.311,0.017,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,FL,Charlotte County,4,12,15,12015,Distribution of all-cause deaths (%),3923,339,0.924,0.036,,0.004,,0.032,0.003,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Charlotte County,4,12,15,12015,Distribution of COVID-19 deaths (%),3923,339,0.894,0.047,,,,0.05,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Charlotte County,4,12,15,12015,Distribution of population (%),3923,339,0.838,0.054,0.003,0.014,0,0.077,0.014,Small metro,
03/17/2021,01/01/2020,03/13/2021,FL,Citrus County,4,12,17,12017,Distribution of all-cause deaths (%),3615,308,0.937,0.022,,0.004,,0.033,0.003,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Citrus County,4,12,17,12017,Distribution of COVID-19 deaths (%),3615,308,0.909,,,,,0.055,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Citrus County,4,12,17,12017,Distribution of population (%),3615,308,0.875,0.029,0.004,0.016,0,0.061,0.015,Small metro,
03/17/2021,01/01/2020,03/13/2021,FL,Clay County,2,12,19,12019,Distribution of all-cause deaths (%),3002,308,0.801,0.13,,0.021,,0.039,0.007,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Clay County,2,12,19,12019,Distribution of COVID-19 deaths (%),3002,308,0.682,0.192,,0.049,,0.068,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Clay County,2,12,19,12019,Distribution of population (%),3002,308,0.716,0.116,0.004,0.03,0.001,0.104,0.029,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,FL,Collier County,3,12,21,12021,Distribution of all-cause deaths (%),4975,510,0.85,0.034,0.002,0.007,,0.105,0.002,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Collier County,3,12,21,12021,Distribution of COVID-19 deaths (%),4975,510,0.72,0.065,,,,0.206,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Collier County,3,12,21,12021,Distribution of population (%),4975,510,0.622,0.066,0.002,0.015,0,0.286,0.009,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Columbia County,5,12,23,12023,Distribution of all-cause deaths (%),1343,158,0.847,0.109,,0.009,,0.028,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Columbia County,5,12,23,12023,Distribution of COVID-19 deaths (%),1343,158,0.823,0.127,,,,,,Micropolitan,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Columbia County,5,12,23,12023,Distribution of population (%),1343,158,0.718,0.182,0.005,0.01,0.001,0.067,0.018,Micropolitan,
03/17/2021,01/01/2020,03/13/2021,FL,Duval County,1,12,31,12031,Distribution of all-cause deaths (%),13875,1462,0.681,0.251,,0.02,,0.041,0.005,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Duval County,1,12,31,12031,Distribution of COVID-19 deaths (%),13875,1462,0.64,0.275,,0.032,,0.049,,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Duval County,1,12,31,12031,Distribution of population (%),13875,1462,0.52,0.296,0.003,0.049,0.001,0.105,0.026,Large central metro,
03/17/2021,01/01/2020,03/13/2021,FL,Escambia County,3,12,33,12033,Distribution of all-cause deaths (%),6587,789,0.768,0.195,0.003,0.013,,0.015,0.004,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Escambia County,3,12,33,12033,Distribution of COVID-19 deaths (%),6587,789,0.687,0.276,,0.014,,0.015,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Escambia County,3,12,33,12033,Distribution of population (%),6587,789,0.639,0.227,0.008,0.032,0.002,0.059,0.033,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Hernando County,2,12,53,12053,Distribution of all-cause deaths (%),3863,359,0.893,0.037,,0.004,,0.06,0.005,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Hernando County,2,12,53,12053,Distribution of COVID-19 deaths (%),3863,359,0.847,0.056,,,,0.078,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Hernando County,2,12,53,12053,Distribution of population (%),3863,359,0.764,0.052,0.003,0.013,0.001,0.148,0.018,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,FL,Highlands County,4,12,55,12055,Distribution of all-cause deaths (%),2420,293,0.828,0.069,,0.004,,0.092,0.005,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Highlands County,4,12,55,12055,Distribution of COVID-19 deaths (%),2420,293,0.724,0.109,,,,0.154,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Highlands County,4,12,55,12055,Distribution of population (%),2420,293,0.661,0.096,0.004,0.014,0,0.211,0.014,Small metro,
03/17/2021,01/01/2020,03/13/2021,FL,Hillsborough County,1,12,57,12057,Distribution of all-cause deaths (%),16436,1542,0.641,0.149,0.001,0.017,,0.186,0.005,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Hillsborough County,1,12,57,12057,Distribution of COVID-19 deaths (%),16436,1542,0.549,0.158,,0.016,,0.275,,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Hillsborough County,1,12,57,12057,Distribution of population (%),16436,1542,0.476,0.16,0.002,0.043,0.001,0.297,0.021,Large central metro,
03/17/2021,01/01/2020,03/13/2021,FL,Indian River County,4,12,61,12061,Distribution of all-cause deaths (%),2854,198,0.895,0.061,,0.005,,0.035,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Indian River County,4,12,61,12061,Distribution of COVID-19 deaths (%),2854,198,0.742,0.146,,,,0.091,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Indian River County,4,12,61,12061,Distribution of population (%),2854,198,0.75,0.091,0.002,0.016,0,0.127,0.014,Small metro,
03/17/2021,01/01/2020,03/13/2021,FL,Lake County,2,12,69,12069,Distribution of all-cause deaths (%),5624,521,0.84,0.079,,0.009,,0.067,0.003,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Lake County,2,12,69,12069,Distribution of COVID-19 deaths (%),5624,521,0.756,0.104,,,,0.113,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Lake County,2,12,69,12069,Distribution of population (%),5624,521,0.686,0.104,0.003,0.021,0.001,0.167,0.018,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,FL,Lee County,3,12,71,12071,Distribution of all-cause deaths (%),10134,831,0.846,0.053,,0.007,,0.09,0.002,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Lee County,3,12,71,12071,Distribution of COVID-19 deaths (%),10134,831,0.74,0.089,,,,0.166,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Lee County,3,12,71,12071,Distribution of population (%),10134,831,0.662,0.081,0.002,0.017,0,0.225,0.013,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Leon County,3,12,73,12073,Distribution of all-cause deaths (%),4186,541,0.676,0.29,,0.007,,0.022,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Leon County,3,12,73,12073,Distribution of COVID-19 deaths (%),4186,541,0.591,0.372,,,,0.028,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Leon County,3,12,73,12073,Distribution of population (%),4186,541,0.559,0.314,0.002,0.036,0,0.067,0.022,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Manatee County,3,12,81,12081,Distribution of all-cause deaths (%),5914,551,0.865,0.07,,0.006,,0.055,0.002,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Manatee County,3,12,81,12081,Distribution of COVID-19 deaths (%),5914,551,0.737,0.122,,,,0.127,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Manatee County,3,12,81,12081,Distribution of population (%),5914,551,0.706,0.085,0.002,0.022,0.001,0.169,0.016,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Marion County,3,12,83,12083,Distribution of all-cause deaths (%),7174,751,0.835,0.087,0.001,0.007,,0.066,0.004,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Marion County,3,12,83,12083,Distribution of COVID-19 deaths (%),7174,751,0.767,0.129,,,,0.093,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Marion County,3,12,83,12083,Distribution of population (%),7174,751,0.696,0.125,0.003,0.017,0.001,0.141,0.017,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Martin County,3,12,85,12085,Distribution of all-cause deaths (%),2737,377,0.912,0.037,,0.006,,0.042,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Martin County,3,12,85,12085,Distribution of COVID-19 deaths (%),2737,377,0.814,0.085,,,,0.088,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Martin County,3,12,85,12085,Distribution of population (%),2737,377,0.777,0.052,0.002,0.014,0.001,0.142,0.013,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Miami-Dade County,1,12,86,12086,Distribution of all-cause deaths (%),30902,5053,0.175,0.17,0.001,0.009,,0.642,0.003,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Miami-Dade County,1,12,86,12086,Distribution of COVID-19 deaths (%),30902,5053,0.104,0.142,,0.007,,0.744,0.002,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Miami-Dade County,1,12,86,12086,Distribution of population (%),30902,5053,0.129,0.153,0.001,0.015,0,0.694,0.007,Large central metro,
03/17/2021,01/01/2020,03/13/2021,FL,Okaloosa County,4,12,91,12091,Distribution of all-cause deaths (%),2732,296,0.865,0.072,,0.019,,0.032,0.009,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Okaloosa County,4,12,91,12091,Distribution of COVID-19 deaths (%),2732,296,0.794,0.091,,0.044,,0.064,,Small metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Okaloosa County,4,12,91,12091,Distribution of population (%),2732,296,0.729,0.097,0.006,0.03,0.002,0.097,0.039,Small metro,
03/17/2021,01/01/2020,03/13/2021,FL,Orange County,1,12,95,12095,Distribution of all-cause deaths (%),13690,1349,0.562,0.192,0.001,0.028,,0.212,0.004,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Orange County,1,12,95,12095,Distribution of COVID-19 deaths (%),13690,1349,0.434,0.211,,0.033,,0.314,,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Orange County,1,12,95,12095,Distribution of population (%),13690,1349,0.393,0.202,0.002,0.055,0.001,0.326,0.02,Large central metro,
03/17/2021,01/01/2020,03/13/2021,FL,Osceola County,2,12,97,12097,Distribution of all-cause deaths (%),3536,448,0.477,0.106,,0.023,,0.391,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Osceola County,2,12,97,12097,Distribution of COVID-19 deaths (%),3536,448,0.286,0.092,,0.025,,0.598,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Osceola County,2,12,97,12097,Distribution of population (%),3536,448,0.301,0.097,0.002,0.027,0.001,0.558,0.015,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,FL,Palm Beach County,2,12,99,12099,Distribution of all-cause deaths (%),21354,2539,0.761,0.123,0.001,0.009,,0.103,0.003,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Palm Beach County,2,12,99,12099,Distribution of COVID-19 deaths (%),21354,2539,0.615,0.189,,0.009,,0.183,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Palm Beach County,2,12,99,12099,Distribution of population (%),21354,2539,0.535,0.187,0.002,0.028,0,0.233,0.014,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,FL,Pasco County,2,12,101,12101,Distribution of all-cause deaths (%),8289,588,0.886,0.032,0.002,0.009,,0.066,0.004,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Pasco County,2,12,101,12101,Distribution of COVID-19 deaths (%),8289,588,0.818,0.041,,,,0.121,,Large fringe metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Pasco County,2,12,101,12101,Distribution of population (%),8289,588,0.727,0.058,0.003,0.027,0.001,0.165,0.02,Large fringe metro,
03/17/2021,01/01/2020,03/13/2021,FL,Pinellas County,1,12,103,12103,Distribution of all-cause deaths (%),16835,1388,0.858,0.079,0.001,0.014,,0.043,0.004,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Pinellas County,1,12,103,12103,Distribution of COVID-19 deaths (%),16835,1388,0.806,0.107,,0.024,,0.058,,Large central metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Pinellas County,1,12,103,12103,Distribution of population (%),16835,1388,0.736,0.105,0.002,0.035,0.001,0.102,0.02,Large central metro,
03/17/2021,01/01/2020,03/13/2021,FL,Polk County,3,12,105,12105,Distribution of all-cause deaths (%),9685,1008,0.773,0.12,,0.007,,0.096,0.003,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Polk County,3,12,105,12105,Distribution of COVID-19 deaths (%),9685,1008,0.659,0.174,,0.01,,0.153,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Polk County,3,12,105,12105,Distribution of population (%),9685,1008,0.569,0.146,0.003,0.018,0.001,0.246,0.017,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,St. Lucie County,3,12,111,12111,Distribution of all-cause deaths (%),4549,365,0.752,0.147,,0.008,,0.087,0.005,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,St. Lucie County,3,12,111,12111,Distribution of COVID-19 deaths (%),4549,365,0.581,0.222,,,,0.167,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,St. Lucie County,3,12,111,12111,Distribution of population (%),4549,365,0.558,0.202,0.002,0.019,0.001,0.199,0.019,Medium metro,
03/17/2021,01/01/2020,03/13/2021,FL,Santa Rosa County,3,12,113,12113,Distribution of all-cause deaths (%),1567,114,0.929,0.035,,0.01,,0.015,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Santa Rosa County,3,12,113,12113,Distribution of COVID-19 deaths (%),1567,114,0.912,,,,,,,Medium metro,Data based on counts less than 10 suppressed
03/17/2021,01/01/2020,03/13/2021,FL,Santa Rosa County,3,12,113,12113,Distribution of population (%),1567,114,0.819,0.062,0.007,0.021,0.002,0.059,0.032,Medium metro,
